,TrigNum,Date,Time UT,MesgType,RA,Dec,Error,Comments
25,633720730,2021-01-30,17:32:06,GBM Flight Position,21.567,69.65,27.3,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 147.23,-3.78 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
26,633733287,2021-01-30,21:01:23,GBM Flight Position,253.4,64.867,34.27,Fermi-GBM Flight-calculated Coordinates. The LC_URL file will not be created until ~15 min after the trigger.
27,633658270,2021-01-30,0:11:05,GBM Flight Position,266.733,14.267,35.08,Fermi-GBM Flight-calculated Coordinates. The LC_URL file will not be created until ~15 min after the trigger.
28,633806427,2021-01-31,17:20:23,GBM Flight Position,75.9,-42.917,29.52,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 150.07,-7.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
29,633879387,2021-02-01,13:36:22,GBM Final Position,144.98,-50.67,5.07,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
30,633983674,2021-02-02,18:34:30,GBM Flight Position,87.4,42.717,28.52,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 140.60,-17.28 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
31,633963272,2021-02-02,12:54:27,GBM Ground Position,297.06,18.74,2.8,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(1.0<100sec) coincident with the INTEGRAL event (trignum=8965).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_633963272.fits
32,210202841,2021-02-02,20:10:31,LAT Offline Position,230.682,-39.189,30.0,Fermi LAT Offline position. This Notice was ground-generated -- not flight-generated. It is the result of human-in-the-loop processing. This is a human generated position of a LAT ground detection and was also a GBM trigger classified as a GRB. This source corresponds to GBM trigger.
33,633989436,2021-02-02,20:10:31,GBM Ground Position,230.77,-40.78,1.11,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_633989436.fits
34,634156744,2021-02-04,18:39:00,GBM Final Position,272.49,-54.81,2.39,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
35,634112970,2021-02-04,6:29:26,GBM Final Position,116.12,12.7,1.32,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing. NOTE: This GBM event is temporally(31.0<100sec) coincident with the CALET_GBM event (trignum=1296455384).
36,634202000,2021-02-05,7:13:16,GBM Flight Position,288.283,50.183,32.43,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 35.57,-15.25 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
37,634350957,2021-02-07,0:35:53,GBM Flight Position,298.9,25.967,34.1,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 159.20,1.35 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
38,634400883,2021-02-07,14:27:59,GBM Ground Position,138.48,1.59,4.93,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_634400883.fits
39,634669632,2021-02-10,17:07:08,GBM Final Position,205.19,17.32,5.02,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
40,634659312,2021-02-10,14:15:07,GBM Ground Position,292.47,36.59,7.78,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_634659312.fits
41,634725803,2021-02-11,8:43:19,GBM Ground Position,267.71,-55.96,10.44,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(0.0<100sec) coincident with the SWIFT_BAT event (trignum=1032024).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_634725803.fits
42,634903212,2021-02-13,10:00:08,GBM Flight Position,31.95,-34.883,26.23,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 264.70,-22.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
43,634874860,2021-02-13,2:07:36,GBM Flight Position,333.567,-11.117,27.87,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 36.43,-19.90 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
44,634931239,2021-02-13,17:47:14,GBM Final Position,122.54,22.25,4.32,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
45,635027890,2021-02-14,20:38:05,GBM Flight Position,106.383,-70.683,36.95,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 37.75,-23.03 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
46,635206844,2021-02-16,22:20:40,GBM Flight Position,295.983,27.433,5.57,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 130.60,8.35 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
47,635247459,2021-02-17,9:37:35,GBM Flight Position,305.017,-39.467,35.03,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 0.45,22.57 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
48,635598158,2021-02-21,11:02:34,GBM Flight Position,266.483,81.633,26.1,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 120.20,-20.97 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
49,635781430,2021-02-23,13:57:06,GBM Flight Position,222.117,48.883,27.38,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 110.65,-24.87 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
50,635922820,2021-02-25,5:13:36,GBM Final Position,333.44,28.41,3.41,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
51,636187116,2021-02-28,6:38:31,GBM Final Position,91.62,-41.29,1.0,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing. NOTE: This GBM event is temporally(2.0<100sec) coincident with the CALET_GBM event (trignum=1298529456).
52,636168178,2021-02-28,1:22:54,GBM Final Position,283.48,-43.13,2.29,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
53,636420277,2021-03-02,23:24:32,GBM Flight Position,314.567,48.067,25.52,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 269.93,-25.08 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
54,636459103,2021-03-03,10:11:38,GBM Ground Position,40.81,3.35,2.92,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_636459103.fits
55,636729628,2021-03-06,13:20:23,GBM Flight Position,284.683,70.617,30.05,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 114.98,2.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
56,636695642,2021-03-06,3:53:57,GBM Ground Position,139.18,64.23,1.0,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(0.0<100sec) coincident with the SWIFT_BAT event (trignum=1035994).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_636695642.fits
57,636715939,2021-03-06,9:32:14,GBM Ground Position,337.91,14.72,6.46,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_636715939.fits
58,636717531,2021-03-06,9:58:47,GBM Flight Position,324.667,53.283,26.7,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 126.48,-15.53 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
59,636878281,2021-03-08,6:37:57,GBM Ground Position,63.45,42.77,1.18,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(0.0<100sec) coincident with the SWIFT_BAT event (trignum=1036227).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_636878281.fits
60,636926765,2021-03-08,20:06:00,GBM Final Position,350.48,-53.55,9.2,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
61,636858344,2021-03-08,1:05:40,GBM Flight Position,42.517,-43.0,35.8,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 128.87,-12.08 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
62,637027080,2021-03-09,23:57:55,GBM Final Position,143.31,-5.87,11.36,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
63,637133095,2021-03-11,5:24:50,GBM Flight Position,108.8,26.183,25.8,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 101.63,-25.67 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
64,637214649,2021-03-12,4:04:05,GBM Final Position,68.21,-16.26,9.87,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
65,637521056,2021-03-15,17:10:52,GBM Ground Position,100.1,-51.81,6.6,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_637521056.fits
66,637664914,2021-03-17,9:08:29,GBM Final Position,154.22,-64.94,1.5,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. NOTE: This GBM event is temporally(2.0<100sec) coincident with the INTEGRAL_SPIACS event (trignum=9085).
67,637729731,2021-03-18,3:08:47,GBM Final Position,259.06,-30.29,9.71,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing. NOTE: This GBM event is temporally(17.0<100sec) coincident with the KONUS event (trignum=1929111309).
68,637959326,2021-03-20,18:55:21,GBM Flight Position,265.633,67.65,35.13,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 127.00,-13.88 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
69,637977270,2021-03-20,23:54:25,GBM Final Position,93.71,-26.63,6.35,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
70,638079947,2021-03-22,4:25:43,GBM Flight Position,296.9,-21.95,34.62,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 28.43,-25.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
71,638193818,2021-03-23,12:03:33,GBM Final Position,253.08,7.82,3.84,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
72,638278742,2021-03-24,11:38:57,GBM Flight Position,88.917,-44.95,29.85,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 206.58,-13.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
73,638277273,2021-03-24,11:14:28,GBM Final Position,148.53,37.18,3.11,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
74,638308803,2021-03-24,19:59:58,GBM Ground Position,39.17,-45.25,1.0,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_638308803.fits
75,638306711,2021-03-24,19:25:06,GBM Ground Position,163.84,-4.26,12.37,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_638306711.fits
76,638414549,2021-03-26,1:22:25,GBM Final Position,58.01,15.06,39.17,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
77,638657121,2021-03-28,20:45:17,GBM Ground Position,209.15,-10.01,2.09,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(2.0<100sec) coincident with the CALET_GBM event (trignum=1300999482).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_638657121.fits
78,639011829,2021-04-01,23:17:04,GBM Final Position,263.07,-31.58,1.81,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
79,639164541,2021-04-03,17:42:16,GBM Flight Position,314.0,-61.15,34.75,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 146.45,-16.62 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
80,639101364,2021-04-03,0:09:19,GBM Flight Position,357.133,80.8,13.53,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 27.38,-23.63 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
81,639199407,2021-04-04,3:23:22,GBM Ground Position,186.68,-1.3,10.74,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_639199407.fits
82,639303904,2021-04-05,8:24:59,GBM Ground Position,30.58,18.58,10.81,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_639303904.fits
83,639441970,2021-04-06,22:46:05,GBM Final Position,6.58,19.58,1.5,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
84,639708801,2021-04-10,0:53:17,GBM Ground Position,269.24,49.09,1.0,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. Bright hard burst in the GBM. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(2.0<100sec) coincident with the INTEGRAL_SPIACS event (trignum=9133).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_639708801.fits
85,639787339,2021-04-10,22:42:14,GBM Flight Position,251.05,73.783,34.58,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 76.93,10.57 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
86,639851475,2021-04-11,16:31:11,GBM Ground Position,355.22,23.42,3.55,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_639851475.fits
87,639804661,2021-04-11,3:30:56,GBM Final Position,259.39,-27.41,3.05,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing.
88,639840769,2021-04-11,13:32:45,GBM Final Position,115.68,-74.84,4.54,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
89,639862902,2021-04-11,19:41:37,GBM Flight Position,109.833,29.7,30.55,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 208.68,23.08 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
90,639946709,2021-04-12,18:58:24,GBM Flight Position,256.8,12.55,35.0,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 98.77,1.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
91,639926921,2021-04-12,13:28:36,GBM Flight Position,180.95,45.433,27.25,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 13.03,-6.28 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
92,640050417,2021-04-13,23:46:52,GBM Final Position,186.07,49.6,18.41,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
93,640012523,2021-04-13,13:15:18,GBM Flight Position,291.7,19.283,26.38,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 11.00,-7.38 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
94,640162105,2021-04-15,6:48:20,GBM Final Position,130.32,-37.94,11.52,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
95,640199945,2021-04-15,17:19:01,GBM Flight Position,238.683,-9.383,28.65,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 246.20,13.87 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
96,640310224,2021-04-16,23:57:00,GBM Flight Position,213.067,79.4,6.07,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 253.78,-25.48 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
